,Name,Comments,Likes,Replies,Published
780,CREATIVE BUSINESS UNIT 7,So far da best trailer in Phase 4,0,0 reply,15 hours ago
781,SchalaZeal,This trailer has me straight up weeping. I was not prepared! ,79, 3 replies,2 days ago
782,Raj Kumar,It's odd nobody is talking about Namor in the trailer. The transition from his child self to his adult self walking out from the sea was perfect. This trailer was crafted with caution and has one of the best transition sequences i have ever seen. The cinematography was miles above the first movie's trailer but there were some scenes paying homage to the first trailer which i will leave to the fans to piece it together. R.I.P Boseman and he is the reason i will go see this sequel.,321, 9 replies,3 days ago (edited)
783,T.V.G.,The Birth Scene underwater was beautiful.......,0,0 reply,15 hours ago
784,Future Fee,"If the trailer has me feeling this emotional, I just know I'm gonna be bawling my eyes out in that theater.",281, 15 replies,3 days ago
785,Soraya Board,Why did I just cry watching this.,0,0 reply,15 hours ago
786,Shea Becher,"“In my culture, death is not the end. It’s more of a stepping off point to something greater” - The True King of Wakanda",629, 3 replies,4 days ago
787,Vnator33 Maboko,Continue 2 rest in peace CHADWICK wt a tribute ,0,0 reply,14 hours ago
788,Carol Bono,"I have lost count for how many times I've watched this. I know it was probably so hard for the creators, cast & crew to make this movie. The loss of Chadwick is felt worldwide. This movie is a tribute to him and that is apparent in just the trailer alone. I've never been so excited for a movie but sad at the same time. Bittersweet.",1K, 9 replies,2 days ago
789,The Brony Critic,"I can't translate the whole mural, but the T'Challa mural does say ""The Panther King forever lives in us and..."" Its a really beautiful tribute to anyone who takes the time to learn the Wakanda alphabet. I hope we get a chance to see similar tributes in the background throughout the movie.",501, 8 replies,3 days ago
790,ankit vyas,Luv from india  ️  Great trailor !!,0,0 reply,14 hours ago
791,AjjuSrkian,Tears in eyes......,1,0 reply,13 hours ago
792,akumaxv,"I’d like to think that this song choice was a direct message to the fans as well as the in universe characters. Especially the verses they chose. “Good friends we have, good friends we’ve lost…” and the transition to “Everything’s gonna be alright..” Marvel knows how tough (and nearly impossible) it’s going to be to handle this in a way that won’t upset some fans, but in the end, they will do right by Chadwick Boseman ""In this great future, You can't forget your past...""  and everything WILL be alright. One of most emotional teasers I’ve ever experienced and beautifully done. Wakanda Forever.",697, 10 replies,2 days ago (edited)
793,Rashmi Rekha Talukdar,This song speaks a lot .....,0,0 reply,14 hours ago
794,Edward Hulse,1:20 “I am queen of the most powerful nation in the world and my entire family is gone. Have I not given everything?” Did anyone else tear up when Angela Bassett delivered that incredible emotional line? Cause I did.  Rest in Power Chadwick Boseman you will never be forgotten. Wakanda Forever!,1.3K, 60 replies,4 days ago (edited)
795,JP,Namor looks so sick,0,0 reply,15 hours ago
796,HK EXPLAIN,RIP legend Chadwick Boseman,1,0 reply,16 hours ago
797,Chill,Kendrick really has good songs and it matches up with black panther,0,0 reply,15 hours ago
798,M A,Imperius Rex! Let's go Namor.,0,0 reply,10 hours ago
799,Karthik Satheesh Kumar,"Did anyone else get chills in the end when they said ""Wakanda Forever""RIP Chadwick Boseman",829, 9 replies,4 days ago
800,nikkilicious69,goosebumps,1,0 reply,15 hours ago
801,Fernando Freire,I swear I saw a couple of Na'vi at some point. Is Avatar also in the MCU?,0,0 reply,9 hours ago
802,Pavni bhagat,Chills and goosebumps  wakanda forever ️️,0,0 reply,14 hours ago
803,Marjorie Dieudonne,Brilliant        ,0,0 reply,4 hours ago
804,Renegade LK,Excitement and Sadness are the two emotions that only a Black Panther: Wakanda Forever trailer can make me experience at the same time.,212,1 reply,3 days ago
805,Fictive,Didn't expect to see them do a crossover with James Cameron's Avatar.,0,0 reply,9 hours ago
806,nishant jha,Release it already,0,0 reply,10 hours ago
807,Ridham H,The CGI is looking next level on this. And everything seems to be neat and detailed.,835, 9 replies,3 days ago
808,Collector731,"Wow so brave, and strong",0,0 reply,6 hours ago
809,Bort Bearclok,"wakanda is what i want for africa, peaceful and prosperous. sadly, i'm afraid these movies are as close as we'll ever get. no harm in dreaming, i suppose",2, 2 replies,15 hours ago
810,Hayden Miller Music,Is it just me who thought those blue painted warriors looked like avatars for a moment?,0,0 reply,9 hours ago
811,BlvckMv3rick,This truly looks amazing! Probably the heart felt marvel experience we’ll ever feel. Thank you Chad… Wakanda is and will always be… FOREVER,853, 8 replies,3 days ago
812,David Soccer,Is the hero Black Panther ever coming back for real?,0,0 reply,9 hours ago
813,Veronica Bennett,Just to let everyone know we’re wearing all white to the premier,1,0 reply,8 hours ago
814,Maria Oliveri,"This trailer made me feel as if I am kid reading comics in my room all over again. The chills. Birth. Life. Death. Long live T’Challa you are in my heart. Rest in Power Chadwick Boseman, your powerful TALENT to bring characters to life. My grief will overflow in November.",141, 5 replies,19 hours ago
815,InferNap G X,Wakanda Forever  Wakand Rise again,0,0 reply,9 hours ago
816,Cxmpy x,"I've never cried from watching a trailer....but you can feel the emotion and love in this for Chadwick and for us all. This gonna be the best movie Marvel has put out, I already bet on it",883, 8 replies,3 days ago
817,Nameless One,Queen Ramonda's speech...that was powerful. I just hope she doesn't lose Shuri as well.,79,0 reply,3 days ago
818,Jennie Anurag,"Wakanda Forever ️
This gives me goosebumps. A true masterpiece. Can't wait to watch it ",81,1 reply,3 days ago
819,Dylan Cole,Wow… that’s.. I don’t know what to say. I had my doubts about Wakanda Forever but this is the first time I feel truly hyped about it. This trailer has a good emotional tear jerking sequence. I absolutely can’t wait. ,230, 5 replies,4 days ago
820,Himansi Dehigama,Its looks very tribal awesome,0,0 reply,11 hours ago
821,Walson Mboe Ntuba,This better be at least 5hrs Long,1,0 reply,10 hours ago
822,Muhammad Farooq,The marvel universe is just getting betterrrrrrr,0,0 reply,11 hours ago
823,Lady Tee,️️,1,0 reply,4 hours ago
824,Sathwik 007,Legend is missing,1,0 reply,7 hours ago
825,"Show It, Sis !","Soar Chadwick, SOAR ",0,0 reply,2 hours ago
826,Graphikage,"HONESTLT, effects and edit is no doubt one of the best. But I see marvel falling.",0,0 reply,15 hours ago
827,gaming ready 1122,Qne of the thing about this dude is that he never reveals tha 25m surprptse,0,0 reply,8 hours ago
828,Happy Nice Dream,Wakanda Forever,0,0 reply,16 minutes ago
829,gaming ready 1122,Qne of the thing about this dude is that he never reveals tha 25m surprptse,0,0 reply,8 hours ago
830,Max Payne,“I’ve I not given everything”!!!,0,0 reply,10 hours ago
831,Owen Phillips,The fact that i will be defending this movie with ever ounce of my body,1,0 reply,10 hours ago
832,harvey kinkle,"this is for u, my king chadwick. we miss u so much",1,1 reply,8 hours ago
833,Officer Spooder,Wakandaforever Rip Mr.Boseman,0,0 reply,6 hours ago
834,P. R.,Those cops are really going to regret arresting Ryan after this comes out.,0,0 reply,8 hours ago
835,Akeem Perez,"""And when I wake up I recognize you lookin at me for the pay cut""",0,0 reply,10 hours ago
836,Pontius888,Espero un gran tributo para Chadwick Boseman en esta pelicula su legado ya es legendario. Esa escena de el nacimiento de Namor simplemente espectacular me dio escalofrios.,70,0 reply,20 hours ago
837,Juan Hudd,"""In my culture, death is not the end. It's more of a stepping off point. You reach out with both hands and Bast and Sekhmet, they lead you into the green veld where... you can run forever.""

The King and the Panther lives forever in us.",636, 8 replies,21 hours ago
838,Callum Altair,"For those wondering, yes -- The Atlanteans in this film will be heavily inspired by Meso-American (mainly Aztec) culture. Namor is the King of Talocan, not Atlantis. The city actually exists already in Marvel comics. The rulers are gods themselves. So that explains why the Atlanteans will be able to fend off Wakanda's weapons and technology. They'll be superhuman to a certain degree.",56, 13 replies,20 hours ago
839,Heru DeVinci,I got Goosebumps watching the preview now that's what a movie is supposed to do,92, 3 replies,16 hours ago
840,Erik Patatoe,"As much as I love this trailer and it’s so badass, I really REALLY hope they don’t show a lot in the next trailers. The trailers for Multiverse of Madness showed wayyyyyy too much, I hope we’re in for a suprise in Wakanda Forever ",175, 5 replies,19 hours ago
841,Keegan Cardoz,"I GOT FREAKING CHILLS THE ENTIRE TRAILER TILL THE END , WAKANDA FOREVER!!!!",31,0 reply,17 hours ago
842,E. J.,I am in tears. Chadwick will always be my Black Panther. I look forward to supporting this movie. Wakanda Forever!,38,0 reply,18 hours ago
843,MrsSalvatore x3,This is epic! One of the best trailers I have ever seen and I am going to the theater to see it! I still miss Chadwick so much. Wakanda Forever!,8,0 reply,16 hours ago
844,Rishav Bharti,"The most beautiful teaser trailer of MCU, I never seen this level of emotions in MCU movie before ️, after seeing this teaser I can't wait to the movie",13,0 reply,16 hours ago (edited)
845,Karl Tanti,We really need to have an Oscar for Best Cinematic Trailer at the Academy Awards,13,0 reply,16 hours ago
846,markers and memories,Beautiful and heartbreaking at the same time. Everything in this trailer is brilliant.,12,0 reply,20 hours ago
847,12CLASSICS,"What a gorgeous trailer. I'm super excited for this. I think they did the right thing by having T'Challa die because then Chadwick will be honored alongside the character, and the cast's genuine grief can be shown and explored. And we as the audience will share that real grief. I wonder, though, why Ramonda says her ""entire"" family is gone since Shuri is still alive. Perhaps this line will be spoken during a flashback of the 5-year Blip period, during which both T'Challa and Shuri were dust.",48, 4 replies,20 hours ago
848,ThatJupiterFella,Such a beautiful song throughout this trailer and in memory of the real wakanda king ,5,0 reply,19 hours ago
849,Sonia’s Way,The CGI is looking next level on this. And everything seems so neat and detailed,44,1 reply,19 hours ago
850,Hanna Brandon,"I can’t stop my tears! This is just beautiful! ️️️️ miss you Chadwick, you beautiful black panther",7,0 reply,16 hours ago
851,Fenet the genius!!!-_-,Angela's monologue hit really deep and hard,5,0 reply,16 hours ago
852,Cant be Tamed,"This is the best trailer I have ever seen! It is so powerful. The music, the characters... Everything! This movie is going to be so good!",8,0 reply,18 hours ago
853,Nur Baiti Hikaru,"Beautiful, epic and emotional tribute for Chadwick Boseman. It give me tears.",2,0 reply,20 hours ago
854,Mombie The Zombie,"I always loved the more “obscure” heros growing up. So, when I found out they were making the 1st Black panther movie, I was elated. Chadwick played him perfectly and losing him was truly a great loss. However, seeing this trailer, I see the love and honor that every single one of his fellow actors has for both him and this movie, and I’m just as excited for it. This comic may not have as strong of a cultural meaning for me, but I still love it for how much pride it has in itself and I’m glad the movies are doing the same.",38, 8 replies,20 hours ago
855,Ervin Dubo,"This trailer, it's enough to make a grown man cry 

Rest in Power Chadwick. Black Panther forever! Wakanda forever!",2,0 reply,20 hours ago
856,Adrianna McKenzie,️ R.I.P King Chadwick ,0,0 reply,7 hours ago
857,NoCap Nova,Marvel is the GOAT at making trailers,0,0 reply,12 hours ago
858,Quotes & Meanings,"""No Woman, No Cry"" is a fitting song to what I think the theme of the movie will be.
The song is about how women have to go through pain, suffering, and most importantly, loss, and yet they still manage to keep going.
“Good friends we have, oh, good friends we've lost",2,0 reply,10 hours ago
859,Maidul Hossain,Yes but they are just gonna make it super emotional and make a bunch of money out of it.,0,0 reply,7 hours ago
860,Michael Lewis,I'm hoping that Namor is arrogant as he is in the comics.  That's what makes him so much fun.,0,0 reply,5 hours ago
861,Iam AMAN,Chadwick ️️,0,0 reply,7 hours ago
862,Cj Jada,They have to just edit Chadwick in or else I'm going to literally cry,0, 2 replies,9 hours ago
863,Ricko Not for stupid stuff,Makes me sad  rest in heaven buddy,0,0 reply,6 hours ago
864,Haris Abdurrasyid,"Wakanda may be forever, but mere mortal are not, Rest In Pride Chadwick Boseman aka T'challa Son of T'chaka",0,0 reply,1 hour ago
865,Archanfel,I hope Kendrick Lamar does this soundtrack as well,0,0 reply,4 hours ago
866,Jonbili Tovi,Not me with eyes filled with tears ,0,0 reply,1 hour ago
867,Tristan McManus,CHADWICK BOSEMAN is still our BLACK PANTHER R.I.P WAKANDA FOREVER,0,0 reply,4 hours ago
868,senku,may he rest in peace,0,0 reply,11 hours ago
869,Will,Strong wamen hell yes!!!,0,0 reply,10 hours ago
870,Janet Miller Young,Hallelujah amen!  Mr Bozeman you would be proud!,0,0 reply,6 hours ago
871,Arthur Morgan,I used to love the MCU and I still think it’s ok but they are always releasing way to much information which gives hype away so pls don’t release any more trailers,0,0 reply,5 hours ago
872,Hope,"Without Power Chadwick this just not looks right. Hope they just let him rest in piece, without making stupid jokes, or...Man, really scary for this one.",0,0 reply,6 hours ago
873,RichCanDoIt,This is perfectly balanced as it should be,0,1 reply,11 hours ago
874,Alanna te conta!,"I think I won’t be able to watch this movie, sorry  I’m in tears right now",1,0 reply,4 hours ago
875,Tim M,"You can tell the actors shed blood, sweat, and tears into making this movie… they did this for Chadwick. Just watching this trailer made me so emotional, especially seeing that drawing of Chadwick on the wall…. Heart goes out to his family and him. Rest in Power, Rest in paradise Chadwick, you’re severely missed still… ️️️",1,0 reply,4 hours ago
876,Aquino Dmello,This is beautiful. I've been on loop for 3 days straight. Rest in peace King ,2,0 reply,20 hours ago
877,Daisy 1103,This literally gives me goosebumps EVERY time I watch it,1,0 reply,16 hours ago
878,Sameer Usman,I don't think I have EVER been so emotional after watching a teaser.. EVER!!,2,0 reply,18 hours ago
879,n$$o doesn't care,It really does suck that he passed away but no matter what he will still be the King wakanda forever,3,0 reply,18 hours ago
880,Jimi Erickson,I love the cinematography already. So sad that Chadwick Bozeman passed away. He will always be Black Panther to me.,1,0 reply,19 hours ago
881,DayBreak,By far the best trailer Marvel has ever released...and the build up from “No Woman No Cry” to “Alright” is straight up ,39,0 reply,16 hours ago
882,Veronika M,"1:33 how my heart did ""BOOM"" when I've seen Everett Ross! And Namor... the movie is going to be INCREDIBLE!!!",2,0 reply,16 hours ago (edited)
883,Shaw Meehan,"I’ve spent the last few hours watching reaction videos and watching CWar, BP, and EG just to see Chad.  I feel the love and honor Ryan put into this movie.  It’s magical and I’m so grateful for it.  I miss the King!",0,0 reply,20 hours ago
884,OG RAJ FF,He is still alive in our hearts and he will always there .I love you Chadwick Boseman...,2,0 reply,20 hours ago
885,Toma_Hawk,"Wow...just wow ... This trailer gives me goosebumps  Chadwick would be proud, R.I.P.  The transition of the 2 songs are so well done! Love it! Can't wait for another Kendrick soundtrack ",1,0 reply,17 hours ago
886,Krishna,"Rest in power Chadwick, your legacy will never be forgotten!  ️",0,0 reply,17 hours ago
887,Soham Otaku,This movie is gonna be real seriousGetting goosebumps,2,0 reply,16 hours ago
888,GeekTaste,The most goosebump enducing teaser i have ever witnessed in my life,1,0 reply,17 hours ago
889,karthik Mavuru,Loved it  Rest in Power King Chadwick Boseman ,0,0 reply,16 hours ago
890,Marc Warren,Can't wait. Looks  X more awesome than the first movie,0,0 reply,19 hours ago
891,Shakil Hasan,"I am crying 
Without Chadwick Boseman this trailer is incomplete. Rest in peace my friend. You will be always out Black PantherWakanda Forever tribute to Chadwich Boseman ",1,0 reply,16 hours ago
892,Tina Quilas,Goosebumps.. and got teary eyed when i saw Chadwick Boseman paintng. Wakanda Forever ,0,0 reply,20 hours ago
893,quietbirde,i got chills at the end i cant wait to see this,0,0 reply,18 hours ago
894,Leato Rabosigo,Never thought id be this choked up by a trailer. So much emotion.,0,0 reply,18 hours ago
895,Mecanzie,This looks like an incredible tribute to Chadwick. May he rest in Power in the Ancestral Plane.,0,0 reply,18 hours ago
896,Erik Molotov,"All all I say now is “Everything Everything Will Be All Right” while acting out some badass acton scene
Truly a masterpiece and Rest In Peace Chadwick Boseman",0,0 reply,19 hours ago
897,Guz-dubs,"The trailer isn’t the only reason we’re crying 
In loving Memory of King Chadwick Boseman
Forever Rest In Peace ️️",0,0 reply,17 hours ago (edited)
898,This is BUSINESS,Everytime I see this Beautiful ️Trailer I got Emotional Everything gonna be alright..,1,0 reply,17 hours ago (edited)
899,Josephine George,It's gonna be so different and it's going to be even difficult for us to watch this without Chadwick... you rest in peace black panther ️,0,0 reply,16 hours ago
900,SD,Pure Goosebumps......,1,0 reply,20 hours ago
901,briann,I've got goosebumps during the whole trailer ,0,0 reply,18 hours ago
902,ChickenGoup,"It took 80 Seconds for 1 word to be spoken and the end of that sentence brought chills followed with a mural of Chadwick, RIP King, Feige, Coogler and the rest of the cast will carry your legacy. Wakanda Forever, Can’t wait. Hoping for another Kendrick Soundtrack out of this one",0,0 reply,20 hours ago
903,doodskie999,"Chadwick, I was so sad you died, it was during the pandemic lockdown, and your death made me sadder. Seeing this made me so happy that you are going to have a proper tribute. Wakanda forever!",1,0 reply,17 hours ago
904,H_perera,What a piece of art!!!! ️,0,0 reply,16 hours ago
905,(RONALDO THE LEGEND),Miss you legend Chadwick Boseman you are always in our hearts ,1,0 reply,17 hours ago
906,Lofty Xx,"Conquered  hearts  , Just amazing  scenes ️ wakanda Forever ",1,0 reply,18 hours ago
907,AG-GAMER,Goosebumps ,0,0 reply,21 hours ago
908,Zangi Mumba,"What a trailer...oh my! Chadwick, we miss you and this is a beautiful honor of you. Can't wait ",0,0 reply,16 hours ago
909,senura weerasinghe,I don't know how many times I watched this trailer but every time I watch this trailer my eyes are full of tears.We gonna be a' right,1,1 reply,19 hours ago
910,Subhankar Das,Goosebumps and emotional ,0,0 reply,18 hours ago
911,シRyder,I think this will genuinely be the one movie they can NOT mess up or it’s not going to be good for them,1,0 reply,20 hours ago
912,Zena Cheong,The music is so touching :( rip Chadwick! This trailer was stunning,1,0 reply,19 hours ago
913,warhog__prince,The best trailer that touched my heart in deep rip  chadwick sir love u,1,0 reply,19 hours ago (edited)
914,Solid Snake,This trailer is definitely one of the best trailers I’ve seen. I love the tone and aesthetic of the movie and the trailer gives so much emotion. Long live the king chadwick boseman. This movie is going to be  fire Wakanda forever!!!,2,0 reply,20 hours ago
915,Prerna Priyanka,I got emotional just by watching the teaser.. what's gonna happen when the trailer comes out and more importantly when I'll be in theatre ,0,0 reply,16 hours ago
916,Samrat Honrao,"Some trailer…so many emotions there
Something not mentioned in the comments though that in this larger than life trailer, the actor who has played (no idea) Namor has a terrific screen presence- will definitely watch the movie and expecting a lot from Namor character",0,0 reply,18 hours ago
917,Made By Mattel,This entire trailer gives me chills,0,0 reply,19 hours ago
918,Kharthigeshan Muniandy,1:55 blew my mind. RIP Chadwick Boseman. You will be missed,0,0 reply,19 hours ago
919,Kraxster,When she said wakanda forever  goosebumps,0,0 reply,16 hours ago
920,triodesrbetter,I'm no cb fan (in fact prefer dc given the genre) but I wouldn't be surprised if this got Best Picture.,3,0 reply,17 hours ago
921,King Grimm,"This is actually a really cool trailer
I really hope it isn't boged down by the regular marvel formula",0,0 reply,18 hours ago
922,Reukk TT The Crazy One.,Heart Throbbing.. ️,0,0 reply,19 hours ago
923,mynameisrits,"RIP Chadwick Boseman, you will always be our wakandan king",1,0 reply,16 hours ago
924,faith white,I think this was one of the coolest trailers I've ever seen.,0,0 reply,21 hours ago
925,Sonu Y,I didn't have had much expectations from this movie to be honest but it turned out to be most exciting movie trailer post covid era,0,0 reply,17 hours ago
926,RAHUL D,Will miss Chadwick you are the only black panther for us.  happy for new panther the Legacy must live on  ,1,0 reply,18 hours ago
927,G Y,"I'm hoping in my heart that Chadwick had told Coogler and they filmed a few scenes before the end, and we get to see him one last time in this. Get a proper send-off to King Chadwick.",0,0 reply,16 hours ago
928,Sunil Aimbot,Rest in power my panther ,0,0 reply,20 hours ago
929,PROD. SWAGGYRIQUE,"This makes me so sad, bro. RIP Chadwick Boseman  amazing trailer. And as a producer, I like the Mashup of No Woman No Cry and Alright. That was pretty dope ",0,0 reply,19 hours ago
930,Marin51,"I dont think anyone can replace Chadwick, he was our true Black Panther But after seeing this trailer, I actually have some hope 
The sequel will probably not be a mistake after all",0,0 reply,19 hours ago
931,Desirae,Angela’s monologue got my heart pumping,0,0 reply,19 hours ago
932,Alex Scott,We salute him. Rest in peace my king. ,0,0 reply,19 hours ago
933,Mingyuan Jin,One of the best teasers with great music!,0,0 reply,18 hours ago
934,Sun5et95,"Rest in peace Chadwick, thank you for bringing this sequel",0,0 reply,18 hours ago
935,Pranjal Jadhav,Goosebumps!,0,0 reply,17 hours ago
936,Emily H.,"I have been so disenchanted with recent Marvel releases. This is going to fix that, I just know it.",0,0 reply,19 hours ago
937,Lola Aina,"One word, ""breathtaking"". ",0,0 reply,17 hours ago
938,Flint Chagweda,Goosebumps all over,0,0 reply,18 hours ago
939,Jayanti k,Goosebumps !,0,0 reply,16 hours ago
940,M Chanuthi Perera,Such a beautiful trailer.,0,0 reply,20 hours ago
941,Atilla Çiftçi,This is just so EPIC!,0,0 reply,18 hours ago
942,ADA VA,The one trailer you can only listen to. ,0,0 reply,20 hours ago
943,King Grimm,Whoever made his trailer needs a raise,1,0 reply,18 hours ago
944,HubbzZ,I love the Aztec or Mayan vibe they’re going with for Namor. Makes him way more interesting than some boring white dude.,1,1 reply,18 hours ago
945,Lotie The Bunny,What a powerful trailer!!,0,0 reply,17 hours ago
946,Ari Evans,Chadwick was a great actor and a great person rest in peace,0,0 reply,18 hours ago (edited)
947,Hamza Nadeem,This has the potential to be the best phase 4 entry.,0,0 reply,21 hours ago
948,Xanátos,The goosebumps are real!,0,0 reply,17 hours ago
949,Prashanth K.P.,Trust the Movie too keeps up the thrill and excitement that is seen in this trailer. Wishing it success!!,0,0 reply,20 hours ago
950,Mang Hope,Rest In Power Chadwick ,1,0 reply,16 hours ago
951,Tibbs Daily day,"I always love black phanter, whole movie, all of it, but my favorite actor in the movie is still martin freeman",0,0 reply,20 hours ago (edited)
952,sweet dark,this is too much goose bumps. I miss Chadwick,0,0 reply,20 hours ago
953,Kirby Kiko Taer,love to see Kotal Kahn as the new antagonist in MCU,0,0 reply,20 hours ago
954,Rabbitt,Now this is a trailer!!! Im out here emotional and everything,0,0 reply,17 hours ago
955,OnyX,"People really doubted that this movie would be very good because of the passing of Boseman but bro, this teaser is so good",0,0 reply,17 hours ago
956,Jackie Baskerwille,"this is epic! But I was like come on just for one second, show us Chadwick Boseman coming in the suit and do at least one flip. Disappointed. love him so much and miss him too much ️",0,0 reply,16 hours ago (edited)
957,Ken Pombereol Morobe,I can’t wait to see this.,0,0 reply,19 hours ago
958,Hayssam Polala,i really hope this will save the phase 4,0,0 reply,18 hours ago
959,MIKON2024,"Very moving, Maya Angelou's poem comes to mind: 

""You may write me down in history

With your bitter, twisted lies,",0,0 reply,19 hours ago
960,Deanna Jernigan,I think is going to be THE best movie of all time. RIP Chadwick Boseman.,0,0 reply,21 hours ago
961,Cassandra Elize Perez,This trailer deserves an Oscar.,0,0 reply,18 hours ago
962,Aniket Sambhare,Got tears in my eyes,0,0 reply,20 hours ago
963,Molly Percocet,"WHEW, goosebumps my goodness11 November cannot come any sooner already!",0,0 reply,19 hours ago
964,Hallyu Info,THIS TEASER IS SUPER AWESOME,0,0 reply,17 hours ago
965,ROCKBETHENAME,"I really think the timing of ""WHEN I WAKE UP"" from kendrick is them waking kilmonger up to become the new BP(yes I don't think he's dead esp after Chadwick passing in real life)",0,0 reply,18 hours ago
966,Henri Alant,This is gonna be EPIC,0,0 reply,18 hours ago
967,CanadianDNA,Marvel outdid themselves with this trailer. This movie will be an experience,0,0 reply,21 hours ago
968,Jerome Truitt,This looks dope!,0,0 reply,21 hours ago
969,Sleeping In The Jungle,THAT LOOKS LIKE THE BEST MOVIE EVER,0,0 reply,17 hours ago
970,Cadma'ru - Gerald Chihota,"oh yes, the trailer makes me want to time travel to November",0,0 reply,17 hours ago
971,𝐆𝐈𝐍🇧🇹𝐀𝐂𝐄,"sometime when I see this kind of trailer, I feel like quitting my job and get into the movie industry as a cinematography. Then I will tell my own story to the director.",0,0 reply,19 hours ago
972,Michael Nwosu,Feels like I'm watching our traditional celebrations done in my village,0,0 reply,20 hours ago
973,NIMROD,Angela Basset would have been a great 90’s STORM with her commanding voice of the elements.,0,0 reply,17 hours ago
974,Let’s learn more about kindness,"My god, that will be a Great Show !",0,0 reply,18 hours ago
975,Infinite Drax,This is amazing,2,0 reply,16 hours ago
976,Sam Lùc.,They took the right path I think. It'll be a good movie. RIP Chadwick.,0,0 reply,19 hours ago
977,Ar3n Sandoval,That music transition ugh! ,0,0 reply,20 hours ago
978,conway329,That's why I love my people.,0,0 reply,17 hours ago
979,MAHAKAL 🙏,WAKANDA FOREVER ,0,0 reply,18 hours ago
980,JK Chen,So powerful trailer !,0,0 reply,16 hours ago
981,Debby Kihara,Not me tearing up with excitement,0,0 reply,17 hours ago
982,Syed Ghouse,"Missing Chadwick Boseman very much
RIP ",0,0 reply,18 hours ago
983,Hannah,"Why queen Ramonda said "" and my entire family is gone"" does it mean Shuri also died sometimes in the movie? and then ressurected and becomes the new black panther, as "" and when I wake up"".",0,0 reply,16 hours ago (edited)
984,Maham Saleem,"amazing amazing trailer, but I'm little confused what would they do with Chadwick's character? Is it before endgame? Or did they kill him in movie as well. I mean, he was alive in movie after endgame, but that's good, because no one can replace his character",0,0 reply,17 hours ago (edited)
985,warhog__prince,Every line of this trailer giving me goosebumps the best thing i ever see,1,0 reply,19 hours ago
986,JJ Smith,"FINALLY

R.I.P Chadwick, such a great man, God bless.",0,0 reply,16 hours ago
987,I Home,the best teaser  l have ever seen   so smooth  ,0,0 reply,21 hours ago
988,Simeon Tong,Avatar 2 and black Panther 2 are definitely the most anticipated movies of the year,0,0 reply,19 hours ago
989,Mabiraj Shrestha,Trailer starts with Nakia and ends with her because I believe she is the new Black Panther.  RIP CHADWICK BOSEMAN ,1,0 reply,17 hours ago (edited)
990,CoD Prince,WAKANDA FOREVER️,0,0 reply,17 hours ago
991,Charlie109,I Honour And Respect Chadwick Bosemen,1,1 reply,18 hours ago
992,ツDeadwood🗿,Wakanda forever...RIP KING,0,0 reply,17 hours ago
993,Donna King,Shuri must have been taken out because the Queen said  she gave her whole family.  I hope she's the new   Panther .,0,0 reply,17 hours ago
994,Satyam Shukla 2051,"Rest in Power, Chadwick Sir .",0,0 reply,16 hours ago
995,Ruis,"Chadwick Boseman ,the lord of Wakanda , the only black panther in the world, rest in peace my man",0,0 reply,17 hours ago
996,Niran Das,goosebumps ,1,0 reply,20 hours ago
997,Aulia Imani,"chadwick, you are my forever wakanda king. Rest in love King",0,0 reply,18 hours ago
998,Ekhator Joy,We Ready️!!! RIP Chadwick ,0,0 reply,18 hours ago
999,Francisco Lourenço,Finally a sequel to the comedy!,0,0 reply,18 hours ago
1000,TheDarlinAzura,"There are tears, tears in my eyes, i cannot.",0,0 reply,20 hours ago
1001,Claude Mangoye,"I suppose that even mentally/emotionally, it couldn't have been easy to shoot the film that is a tribute to their deceased colleague",0,0 reply,17 hours ago
1002,d mitchell,"Predictions: 
Ramonda speaking about the loss of her entire family is after the snap.Killmonger is still alive.
Nakia has a kid.",0,0 reply,16 hours ago
1003,JMUtube,I felt the emotion through Angela Bassett's speech. The drama and tension up to end is pulling me closer and closer.,1.5K, 16 replies,3 days ago
1004,Raissa Asman,Whaaaaaaaaat ???? This is fire ,0,0 reply,17 hours ago
1005,MrUnkownX,"I'm sure every tear while filming was genuine. 
Rest In Power
Chadwick Boseman",68, 3 replies,3 days ago
1006,MilaEttema Ettema,In what timeline is this? After Endgame maybe? That was the last movie where we saw Black Panter in rip Chadwick Boseman,0,0 reply,20 hours ago
1007,Michael C. Marshall,"Best MCU trailer to date, I'm not Virtue signaling either. This is the tone I wish the MCU would adopt going forward.",0,1 reply,20 hours ago
1008,Mr Happeh,This is easily Marvels most emotional trailer the editor deserves a raise,432, 2 replies,3 days ago (edited)
1009,Luke Triton,I think I'm in the small group where not recasting the role of still a bad idea. A perfect chance to use the TVA again and have a new T'Challa in the story,0,0 reply,16 hours ago
1010,Sarassie Little,"What a trailer! The more I see it, the more emotional I get along with the goosebumps. Cannot wait to see the movie. I believe Chad will be proud. Continue to rest in power, King.",67,0 reply,4 days ago
1011,Dennis Efimov,"ВАКАНДА НАВСЕГДА!
WAKANDA FOREVER!",0,0 reply,19 hours ago
1012,jeena mathew,Worth the wait,0,0 reply,18 hours ago
1013,Scott W,I'm really interested on how this will play out. This has huge energy behind it and I'm looking forward to it!,687, 8 replies,3 days ago
