Column1;Name;Comments;Likes;Replies;Published
181;i;if a Ryan Reynolds ad came up on a video I was watching, I would watch the entire thing without skipping it;1;0 REPLY;3 weeks ago
182;jassin zaidani;Hope he gets an Oscar for the best mini-movie;0;0 REPLY;2 weeks ago
183;Dromider;i love ryan reynolds he plays deadpool perfectly his adds i would watch them willingly hes just great;0;0 REPLY;11 days ago
184;??WATCH MY LAST VIDEO??;Ryan Reynolds is one of the only people who can make an ad that people will watch willingly.;0;0 REPLY;3 weeks ago
185;DESTINY GIWA;He's not just my fav actor he's my fav comedian and influencer with The Rock;0;0 REPLY;1 day ago
186;Silkpursuit;holy shit, this is awesome! I'm all for enhancing skill sets of the hard working, especially in film!;0;0 REPLY;3 weeks ago
187;NaiMax;What a great initiative!;0;0 REPLY;2 weeks ago
188;mo1979ca;Thank you for the information. Sounds amazing.;0;0 REPLY;3 weeks ago
189;Shie H.;FANTASTIC! I love this so much!;0;0 REPLY;3 weeks ago
190;Eric Song;"1st post..?! 
Anyway, it's great to see more effort put in to widen the creative works to everyone :) Keep up the good work!";2;2 REPLIES;3 weeks ago (edited)
191;PROJECT JUANARCH;I've come to the point where I love watch your ads and want to see another one. Like now. Lol;1;0 REPLY;3 weeks ago
192;Jazzy Amber Amar;his ads are so entertaining. he's amazing;0;0 REPLY;3 weeks ago
193;Keith Bishop;Thank you Ryan for being such a great person.  If i was as talented and good looking as you I would be such an asshole.;1;0 REPLY;3 weeks ago
194;Jay C. White Cloud;Excellent program... fantastic presenter...!!!;0;0 REPLY;3 weeks ago
195;Steve Milliken;This will be great for the ladder industry.;0;0 REPLY;2 weeks ago
196;Zaid Shaikh;Love you Ryan from India ????... We really enjoy to watching your movies;1;0 REPLY;2 weeks ago
197;Jon Layton;Just a good person. That’s why he is my favorite ;0;0 REPLY;3 weeks ago
198;Fuzz DATABANK;Ryan you are my favorite actor of all time. I really hope if I get to become an actor someday I'll get to meet you.;1;0 REPLY;2 weeks ago
199;Jacob Ward;Can't wait to find out more! Thanks RR;0;0 REPLY;2 weeks ago
200;Missy TK;I followed the link… it’s not applicable to me, but I am keen to hear more about what you, and with whom. I would watch 100 ads of you talking about this initiative, and to see examples of the work it is doing. Thank you for shining this light on the US bipoc creatives - could you start to showcase what they accomplish?;0;0 REPLY;2 weeks ago
201;Jennifer Johnson;THIS!!! What a great initiative.;0;0 REPLY;13 days ago
202;LHplays;Thank you Ryan Reynolds for being the amazing daddy you are.;0;0 REPLY;3 weeks ago
203;saviorselfX29;“Who … ummmmmmm … GIVE me my line when I forget it.”  Gosh, I love Ryan’s ads.;1;0 REPLY;3 weeks ago
204;Shawmutt;Best thing to come out of Canada since Rush. I actively avoid all commercials unless they have Ryan in it. Take note corporations, I know you're tracking me.;0;0 REPLY;2 weeks ago
205;Vero Moreno-Diaz;You are such an inspiration Ryan ;0;0 REPLY;2 weeks ago
206;OptimusWombat;I legit wasn't expecting the name of a Big Four accounting firm to be uttered in this ad.;2;0 REPLY;3 weeks ago
207;Kudasi Nezuko;We must protect him at all costs;0;0 REPLY;3 weeks ago
208;Zayn rabin;this man is the only man who makes me watch  ads;1;0 REPLY;3 weeks ago
209;Tomas Im;Sir...You are an amazing human being!!!;0;0 REPLY;3 weeks ago
210;Cloid;The Creative Ladder logo is actually sick! With the two a's making a ladder. Very creative!;0;0 REPLY;3 weeks ago
211;M Herman;I can’t watch him without imagining  walker next to him saying everything he is along with him ;0;0 REPLY;3 weeks ago
212;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Would love to be involved in this;0;0 REPLY;3 weeks ago
213;Maureen;God I would've loved this when I was young. Bravo.;0;0 REPLY;3 weeks ago
214;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Would love to be involved in this;0;0 REPLY;3 weeks ago
215;Joshawa Frith;this felt so weird without him dissing the co founders. really cool he's backing this tho.;0;0 REPLY;14 hours ago
216;Natalija paradiso;Absolutely love it  ?;0;0 REPLY;3 weeks ago
217;Gator ??;I hope god gives him a long life he’s a good fella;0;0 REPLY;3 weeks ago
218;Robert Thomas;This man just made me watch an ad about ads. Damn you Ryan.;1;0 REPLY;3 weeks ago (edited)
219;Lana husband;I'm really hoping this ends up being an actual thing.;0;0 REPLY;2 weeks ago
220;dave van beers;Wow amazing initiative! If only if I were 20 years younger. ;0;0 REPLY;2 weeks ago
221;Yuriel Cundangan;Corporate Media never FELT a amount of Pain they deserve for what they've done into our society;1;0 REPLY;3 weeks ago
222;Batman comics;I love Ryan Reynolds and I can’t wait for Deadpool 3;1;0 REPLY;3 weeks ago
223;MUHAMMAD AZIM BIN AZMI;Gotta admit, I never skip your ads. Ever. and it's illegal to skip it haha;0;0 REPLY;3 weeks ago
224;Gokul G;That logo is indeed creative!;1;0 REPLY;3 weeks ago
225;Mntdewmania;You, young man are AWESOME!!!!!!;0;0 REPLY;3 weeks ago
226;calkelpdiver;Just sent the link to my daughter, she want's to be a Playwright.  Thank you, Ryan.  You are a good person.  And when are you going to do a Hannibal King movie?  I liked that snarky sarcastic vampire hunter.;0;0 REPLY;2 weeks ago
227;Sumair Yaqub;I genuinely like this person haven't seen the Deadpool by now but love you man!;1;0 REPLY;3 weeks ago
228;Wade Wilson;You’re a good person Ryan….;0;0 REPLY;3 weeks ago
229;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Great job Ryan!;0;0 REPLY;3 weeks ago
230;Mako;How is he so consistently funny?!!;0;0 REPLY;3 weeks ago
231;AndyRocks;This man is something special.  Let's us see that Hollywood has some real kind and thoughtful people.;0;0 REPLY;3 weeks ago
232;Mia! 25 y.o - check my vidéó;His humor is out of this world. Ryan is a natural comedian, he can deliver funny jokes effortlessly.;0;0 REPLY;3 weeks ago
233;Stanley Shady;Ryan's like the Inception for advertisements;0;0 REPLY;3 weeks ago
234;TheImaginativeWeirdo;Would love to be involved in this;0;0 REPLY;3 weeks ago
235;Izzy May IS ready;His humor is out of this world. Ryan is a natural comedian, he can deliver funny jokes effortlessly.;0;0 REPLY;3 weeks ago
236;Amit..;big fan to you bro really love from India ????????????????????????;2;0 REPLY;3 weeks ago
237;mongo;imma be honest, ryan reynolds is the best actor and person imo;2;0 REPLY;3 weeks ago
238;DXD_JESSE;LOVE WHAT YOU'RE DOING RYAN, REALLY LEVELS THE PLAYING FIELD FOR MANY, ESPECIALLY NEW TALENT. GOD BLESS, LOVE FROM JAMAICA.;1;0 REPLY;3 weeks ago
239;zoiu tooi;Ryan's ads are the only ads I never skip lol;0;0 REPLY;2 weeks ago
240;Khrystel L;This is so exciting!!;0;0 REPLY;3 weeks ago
241;Richard Jackman;And Deloitte for their incredible partnership and commitment. And, like, some other things.;0;0 REPLY;3 weeks ago
242;Nanette Sage;"OMG, this is so cool.
I love you Ryan";0;0 REPLY;3 weeks ago
243;Ryjer;Ryan's humanity is the reason why he will be immortal.;1;0 REPLY;3 weeks ago
244;maxler 5795;Ryan can make ads seem like the opossite to ads;1;0 REPLY;3 weeks ago
245;Raveena Singh;Reasons why i love Ryan so much;0;0 REPLY;3 weeks ago
246;Margie Schneider;Wow, love it.;1;0 REPLY;3 weeks ago
247;Winter Mix;My favorite part is his apparent disappointment when he wasn't immediately reminded of his line;0;0 REPLY;3 weeks ago
248;Sandi Melro;Oh man this is amazing!;0;0 REPLY;2 weeks ago
249;alggerman;"Ryan Reynolds should be known from here on as ""The God of Ads"".";0;0 REPLY;3 weeks ago
250;Bryna Jones;Awesome, Sir. ?;0;0 REPLY;3 weeks ago
251;Dr Livi Bidou;Your ads is always funny that is so good and cool;1;0 REPLY;3 weeks ago (edited)
252;Landibear;I just click and watch. No hesitation at all. Wonderful initiative. Also, no lighting required. Nature has been kind enough already.;0;0 REPLY;2 weeks ago
253;Young G;Hi Ryan I am a big fan of your movies and I want to say keep up the good work and congratulations on mint mobile;0;0 REPLY;2 weeks ago
254;NENCY- ????**?? ?? - ??????? ???? ???0??????? ??;His humor is out of this world. Ryan is a natural comedian, he can deliver funny jokes effortlessly.;0;0 REPLY;3 weeks ago
255;Marc Pitre;Your adds makes my day ?;1;0 REPLY;3 weeks ago
256;Lisa Montoni;Subscribed. Thank you for doing this!;0;0 REPLY;3 weeks ago
257;Gopal chandra gouda;Great job man ;0;0 REPLY;2 weeks ago
258;Kris Rogers;Please try ( and jokingly mock, as he did yours) James May’s gin. There’s so much potential for comedy between you two, and I’m 100% here for it;0;0 REPLY;2 weeks ago
259;Gabriel Silva;Man, i Love this guy... pretty likeable... what a man!;1;1 REPLY;3 weeks ago
260;Snehasmita Chakraborty;If you have a television, or a computer, or a phone- love you Reynolds.;0;0 REPLY;3 weeks ago
261;Raudy Pena;Love this guy!!!;0;0 REPLY;3 weeks ago
262;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan's ads are the only ads I never skip lol;0;0 REPLY;3 weeks ago
263;Laurel Silberman;Dude I actually love him;0;0 REPLY;2 weeks ago
264;R Andom;"Stop being so fucking amazing Ryan, you are already our favorite. Give other actors a chance already ok ??
Ok......maybe you and Keanu.......";0;0 REPLY;3 weeks ago
265;Natalie Scarman;I'm in Australia and have studied film and want to pursue it, but its daunting. Having something like this would be amazing, wish I could join up. ;0;0 REPLY;2 weeks ago
266;Alison Chapman;You’re my favorite actor Ryan;0;0 REPLY;4 days ago
267;Thetaz;"I love writing genocidal poetry.
Mostly as some sort of immersive satirical reflection of contemporary humanity.
We all swing differently.";0;0 REPLY;3 weeks ago
268;TRJE114;Awesome effort!;0;0 REPLY;3 weeks ago
269;Pam Rush;Great work Ryan;0;0 REPLY;3 weeks ago
270;yellowtailfan;Funny enough Ryan I enjoy your ads along with your audience.  That's why we flock here.  For quality ads lol;0;0 REPLY;3 weeks ago
271;Lucille Poisson;Ryan looks like my grandpa in his high school yearbook.;1;0 REPLY;3 weeks ago
272;Andrew Kyle;and...holy hell you are amazing at it...you are the ONLY place I will willingly watch ads.  thank you!;0;0 REPLY;3 weeks ago
273;Francisco Gonzalez;Probably the only person who can make me go back to school lol ;0;0 REPLY;3 weeks ago
274;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;His humor is out of this world. Ryan is a natural comedian, he can deliver funny jokes effortlessly.;0;0 REPLY;3 weeks ago
275;laney;i love this man so much.;0;0 REPLY;3 weeks ago
276;Lorenzo Nova;Love u Ryan your awesome been a fan for years love van Wilder you murdered that movie lol classic;0;1 REPLY;3 weeks ago
277;randomjester;Ryan could sit and talk about how great is Twilight and i would still sit and listen.;0;0 REPLY;3 weeks ago (edited)
278;Rich Whittaker;The world needs more Ryan;0;0 REPLY;3 weeks ago
279;Mr. Stupid Universe 731C;0:29 been doing all these thing by myself for 15 years, I must admit I am a tad jealous I don't have cool people to help me out sometimes...;1;0 REPLY;3 weeks ago
280;Enny Enny;I hope it's open to everyone globally;0;0 REPLY;3 weeks ago
281;CDR_Clutch;i actually got choked up. love it;0;0 REPLY;3 weeks ago
282;My Bad;I want to see a movie with Ryan and Patrick Wilson.;0;0 REPLY;2 weeks ago
283;Cali Liddiard;If every man was Ryan would we get bored of him? Willing to put myself forward for that experiment!;0;0 REPLY;3 weeks ago
284;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;big fan to you bro really love from India ????????????????????????;0;0 REPLY;3 weeks ago
285;Dave Darling, author;If you wanted to make a commercial for my novels, I'm up for it! Ontario author here... love to see it happen.;0;0 REPLY;3 weeks ago
286;Comp-lete;I would think YouTubers’ would want Ryan’s ads on their videos cause people will actually watch all the way through lol;0;0 REPLY;3 weeks ago
287;Beauregard Heer;Wow Creative Ladder seems perfect!!;0;0 REPLY;3 weeks ago
288;Sawdust;Hey. Love you, Blake and kiddos. Sending love and wishes for a great family summer for you. May not know you, but been a fan since “Two guys, a girl, a pizza place and a purse and… “. Ok, got mint mobile and will look into Creative Ladder.;1;0 REPLY;3 weeks ago
289;Samantha Weston;Just Fantastic ?;0;0 REPLY;3 weeks ago
290;Edward Tobler;The difference between dog and cat owners were those that were owners owned dogs because cats needed staff. The same difference applies between madmen and admin.;0;0 REPLY;2 weeks ago
291;Logan Silver;The Ad King ? ryan;0;0 REPLY;3 weeks ago
292;ROM GL;I have absolutely zero interest in the CreativeLadder thing, but it was delivered in a short and entertaining manner. RR can read a phone book, and still get viral.;2;4 REPLIES;3 weeks ago
293;crunchybobjones;I remember a time when the most qualified person got the job reguardless of their race or sex..;2;0 REPLY;3 weeks ago (edited)
294;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;big fan to you bro really love from India ????????????????????????;0;0 REPLY;3 weeks ago
295;Yohoga;I was wondering if this will also be open to disabled persons? They are extremely underrepresented behind the camera. I know for my daughter,  she used to have a SAG card until she got a brain injury.  She used to act, but she also used to do behind the scenes  camera work. Anyway,  I hope there's a place for the disabled too. ;0;0 REPLY;2 weeks ago
296;Steven Gardoski;Great Job Guys!;0;0 REPLY;3 weeks ago
297;Jillian Damaske;Fantastic idea!;0;0 REPLY;3 weeks ago
298;Spooky Skeleton;Ryan Reynolds is making selling out a full time profession;0;0 REPLY;3 weeks ago
299;Najat Burgos;Hy Ryan. I am from Panamá.....I saw this coming. Congratulations and best wishes.;0;0 REPLY;3 weeks ago
300;Mitzy_183;this man has more money then god, and hes out here with a family and all this stuff, and hes making addds ! i love it ! he is using his power the exact right way ! helping everyone ! i love it :D they live a private life, and yet hes making all these things for people that could use the little boost !;0;0 REPLY;3 weeks ago
301;Morten V;Shaggy may have only used 1% of his power, but this man made us want to watch ads.;0;0 REPLY;2 weeks ago
302;Govanni Delrio;You're a legend;0;0 REPLY;3 weeks ago
303;Glenn Shibu;Absolutely fabulous;1;0 REPLY;3 weeks ago
304;Me;Awesome! Put Hollywood out of business. ;0;0 REPLY;3 weeks ago
305;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;"Yes the work is fun… when there aren’t idiotic producers and directors (most of them are absolute idiots). And when they’d pay the creative people as good as Hollywood actors. But we generally earn a mere tip for the 12-16 hour days we run!!!

I’m so glad that I also have a degree in something sensible (EE and CS).

Because those degrees and work in IT always kept me in work and the money — and ultimately also got me into TV and eventually Film (unlike most people who actually study film).";0;0 REPLY;3 weeks ago
306;30 day challenge;"Ryan reyonlds 
Helping the homeless is actually the same as going to college or university. It's something that is working towards an legacy.";0;0 REPLY;2 weeks ago (edited)
307;Abby Normal;I watching this on my phone , you know the one with the mint mobile plan . Thanks Ryan.;0;0 REPLY;3 weeks ago
308;Joana D'Arc;Ryan you're so adorable!  Kisses from São Paulo Brasil ?;0;0 REPLY;2 weeks ago
309;CDWCAULDRON;"Ryan Reynolds
The guy that loves Feedback from Us the Viewers ....... “mini-movies”  ""adds"" just the Media to do it with ...you Know if we tuck all this away, he would  be doing hand stands. On the street, to get feed back. And we Love you for it . Thanks “mini-movies” i mean Ryan Reynolds :)";0;0 REPLY;3 weeks ago
310;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Ryan's ads are the only ads I never skip lol;1;1 REPLY;3 weeks ago
311;x31omega;Ryan is the only reason I still watch movies;1;0 REPLY;3 weeks ago
312;ZomBabeZoe's Channel;Your ads are always interesting;0;0 REPLY;3 weeks ago
313;??WATCH MY LAST VIDEO??;Nice! Never really knew this! And I am really excited for where the Creative Ladder will go!;0;0 REPLY;3 weeks ago
314;Malin;If you make it to the lighting department...be kind  is this available outside the US too?;0;0 REPLY;3 weeks ago
315;beeker2884;Love how you pointed out this was a commercial and asked for everyone to be nice  sad world we live in;0;0 REPLY;3 weeks ago
316;Sema Dragun;Ryan your fantastic amigo. : );0;0 REPLY;2 weeks ago
317;Random Noise;This guy keep popping businesses like multiplying Gremlins in a pool ;2;0 REPLY;3 weeks ago
318;Ali Husnain;well I always wanted to act the heck out of acting, but never took it as a career and here I'm about to graduate soon.;0;0 REPLY;3 weeks ago
319;Lasse Hansen;Guys, this is not an AD it's just Ryan talking about ... huuuh waaait a minute. You got me there;1;0 REPLY;3 weeks ago
320;Jennifer A;I hope this group is for Canadiens as well, and for all countries;0;0 REPLY;3 weeks ago
321;Sanaz;I'm sorry, but everyday Ryan Reynolds becomes more zaddy than before. and I'm literally  this close to losing my sh*t.. and also, congratulations on the creative ladder to you and your partners;0;0 REPLY;3 weeks ago
322;Anurag Rai;And I love watching your ads!;0;0 REPLY;3 weeks ago
323;Andrew Dunckley????;You are a living Legend... VAN THE MAN...;0;0 REPLY;2 weeks ago
324;John Shadoe;Thank you, sir.;0;0 REPLY;2 weeks ago
325;Snowflake Multi-tool;The movie where he plays the guy that helps find that woman's family painting is my favorite super hero movie.;0;0 REPLY;3 weeks ago
326;MK;Sounds awesome;0;0 REPLY;2 weeks ago
327;Steve Foster;Ryan is the Chevy chase of the 21st century;0;0 REPLY;3 weeks ago
328;Shelley Ross;"Good job, Ryan.  

(smartazz remark just because ... don't forget to thank your wife for raising your children so you can continue to shine.)";0;0 REPLY;3 weeks ago
329;Sarah Phillips;Ok when an ad with Ryan comes on I don't skip it.;0;0 REPLY;3 weeks ago
330;JR;Yo way to bounce back from xmen and just fking slay it ! ;0;0 REPLY;3 weeks ago
331;eternal optimist;That’s fantastic.;0;0 REPLY;3 weeks ago
332;Kris Taylor;"I wanted to say something funny or sarcastic here but TBH, this is so amazing and great that I just can't bring myself to do that.

Instead, I'm just going to say ""Stay awesome Mr. Gosling, you're an inspiration to many!""";0;0 REPLY;1 day ago
333;Madame Sproete;Yours are the only ads I don't skip. You make me smile. I hear them from another room or across the office and I giggle. Keep up the good work. (Also, Youtube should have a heart button like Facebook for you.);0;0 REPLY;14 hours ago
334;Batherson Mote;I'm impressed. Creative people come from all areas of life. It isn't bound by race, religion, ethnicity, sexual orientation, or anything else. It isn't the domain of old white guys........like me. I used to be a creative young white guys, now I'm just old and forgetful. Hey, if your group is looking for old, forgetful, formerly creative white guy, let me know. We make great paperweights. Stick a script under our ass and it ain't going anywhere. We may forget we're sitting on it, but as long as you remember, just tell us to stand up. Added bonus, that script will be toasty warm on those chilly days.;1;0 REPLY;3 weeks ago (edited)
335;Trace D’Angelo;I have never skipped a Ryan Reynolds ad and I’m proud;0;0 REPLY;3 weeks ago
336;A;Ryan's mind works differently and that is a fact;2;2 REPLIES;3 weeks ago
337;Eternaldarkness3166;Hell I'd see him in another Green Lantern movie;0;0 REPLY;3 weeks ago
338;Rpv92;The best human being alive.;0;0 REPLY;3 weeks ago
339;Laurent Derrien;"lol yeah, because skin color is the great divider, not money.
Hollywood is the best advocate for not addressing the wealth gap issue, as always.
Keep up the good work, Wall Street needs you !";1;0 REPLY;3 weeks ago
340;NorCal Media Productions;Love your stuff;0;0 REPLY;3 weeks ago
341;Csilla Zalezsak Kovacs;The world needs people like Ryan Reynolds. Betty White and Robin Williams are also diamonds of humanity that light up this world with laughter. ;0;0 REPLY;4 days ago
342;Elisa K.;Ryan Reynolds is so cool~?;0;0 REPLY;3 weeks ago
343;kyrotenkaithescarred;Ryan, in my opinion if you are actually serious about this then your website needs some work.  There is barely any information about what you will be getting access to once you sign up. To be honest it looks like a scam on the surface. The website of an organization is its face and you should be well aware of how important that can be.;0;0 REPLY;9 days ago
344;Armistead Lucas Coleman II;AWESOMENESS;0;0 REPLY;3 weeks ago
345;Reece Mulholland;I would give anything to leave South Africa and work in marketing for his companies. They just look like so much fun.;0;0 REPLY;3 weeks ago
346;KenHitchcock;Awesome stuff ;0;0 REPLY;2 weeks ago
347;tojiroh;Admit it. Ryan Reynolds is the only actor we love watching be Ryan Reynolds.;0;0 REPLY;3 weeks ago (edited)
348;DraGnoZ;I'm waiting for your next movie.....you are soooooooo good. I don't have words.;0;0 REPLY;3 weeks ago
349;Christopher Clark;What an absolutely horrible idea. Creating jobs, opening doors to stupendously awesome job...stuff. wow, I suppose this guy wants us to set alarms in the morning and get up to appear at these job in person?! When is Deadpool 3 coming out?! Actually its a fantastic idea. Wish they had ideas like this when i was in my 20's. Now about Deadpool 3...;1;0 REPLY;3 weeks ago
350;grace odinsonn;Ryan Reynolds is just great;0;0 REPLY;3 weeks ago
351;RMarques;"Wish you and Rob MacElhenney would colab on a ""mini"" (or regular) movie";0;0 REPLY;3 weeks ago
352;Deadpool;Creative  indeed;2;1 REPLY;3 weeks ago
353;DarksIde;at this point Ryan,  you could say you were Jesus and 90% would believe you ;0;0 REPLY;3 weeks ago
354;De repente, Papai?!;I never know if he is serious or joking  and even though I did a look;0;0 REPLY;3 weeks ago
355;GAM3GRIND3R;another reason people love you... um,, don't get mushy.. just know that people (yes, including myself) think that you are one of the best things that has happened in this century.. believe it, it's true.;0;0 REPLY;3 weeks ago
356;Codito;omgg this is freaking cool!!!;0;0 REPLY;3 weeks ago
357;Tommy Trinder;Ryan, you became an honorary Welshman after a tiny stint at Wrexham, you can litterally win over the world... I'm not saying you should run for president but my GOD run for president. And still sell Aviation Gin;0;0 REPLY;3 weeks ago
358;No Cap Hats;I love you, Ryan Reynolds;0;0 REPLY;3 weeks ago
359;unicorn;You are the reason my cell phone bill is so low, and I'm an alcoholic - for all the money I save on the phone goes straight to a gin company I won't name.;0;0 REPLY;3 weeks ago
360;Brian Moore;This is great Ryan! Even middle aged chubby balding white guys? We are clearly under represented in media! I mean except Kevin James but he has better hair..;1;0 REPLY;3 weeks ago
361;Kim Dominik;I never know if he's joking or not;0;0 REPLY;2 weeks ago
362;bovinespongiformflu;I have an idea to increase inclusivity across all fields all at once. Meritocracy.;2;0 REPLY;3 weeks ago
363;sledge;That quick wit is not going to getcha out of this one... good effort dork;1;0 REPLY;3 weeks ago
364;BirdsEyeView;Ryan, I just finished building a new set at NASA Goddard, you're welcome to use it anytime. Except now, Webb is happening.;0;0 REPLY;3 weeks ago
365;Ryan rathee;Ryan sir best actor in the planet earth;0;0 REPLY;3 weeks ago
366;Jim B.;"I'm waiting for the Ryan Reynolds Cinematic Universe through ads.

(Cinem-ad-ic Universe?)";1;0 REPLY;3 weeks ago
367;gewn sen;love the little things in general;0;0 REPLY;2 weeks ago
368;Nice Username;I can see him as my funny uncle. Lol;0;0 REPLY;2 weeks ago
369;Smith Family Television;Love this;0;0 REPLY;3 weeks ago
370;The Perfect Curry;Love it;0;0 REPLY;2 weeks ago
371;MangoTek;Meanwhile, I hate ads and I'm sick of being unable to live my life without them drilling into my brain without any consent.;0;0 REPLY;3 weeks ago
372;Cold Man;I'd be happy to watch a 3 hour ad for deadpool 3. I may even pay for it....... ah fuck budday I spoiled the ending.;0;0 REPLY;3 weeks ago
373;??;I’m actually listening to this on the radio;0;0 REPLY;3 weeks ago
374;YuuVa'a Cade;This is so sweet;0;0 REPLY;3 weeks ago
375;Brian Morris;All I can keep thinking about is how veiny and realistic looking the bat wings were. I think he sounds too much like Deadpool, too. Other than that he seems like a fairly decent fellow. Maybe he'd be a bit better without the mark McGrath hairdo. It screams 'needy of your approval'. Just a thought. I'm sure he's really nice anyway.;0;0 REPLY;3 weeks ago
376;The 0-2 Podcast;I see Ryan Reynolds, I click;0;0 REPLY;3 weeks ago
377;catherine powers;He is a worthwhile human being!;0;0 REPLY;3 weeks ago
378;Happyson Chalo Sakala;I love Ryan.;0;0 REPLY;3 weeks ago
379;Evan Weekes;He sounds like a joker even when being serious;0;0 REPLY;2 weeks ago
380;Dennis Tucker;Love you Ryan.;0;0 REPLY;3 weeks ago
381;LarryDMouser;i love you ryan reynolds im a dude but noone can stop me (even myself) from loving you muah!;0;0 REPLY;3 weeks ago
382;SpadeGhostVampire7777;I know. It brings in the money to be able to make and direct new movies, the higher the ratings, the more views, the bigger the amount of money that rolls in.;0;0 REPLY;3 weeks ago
383;Syruponpancake S;Ryan Reynolds is the best!;0;0 REPLY;3 weeks ago
384;Mr. Mediocre Gamer;I'd rather be an actor and make millions for playing pretend than earning min wage holding up a hot light while Christian Bale screams at me that I'll never work in the industry again.;1;0 REPLY;3 weeks ago
385;Filtiarin;Dude is less of a celebrity and more of a normal dude. Thats the good shit;0;0 REPLY;3 weeks ago
386;??frenchtip????;go ryan ;1;0 REPLY;3 weeks ago
387;Kyle Gimple;After hearing it pronounced out loud, we need a new term for bipoc.;0;0 REPLY;3 weeks ago
388;Samuel David;Alright Ryan - you got me to enjoy ads;0;0 REPLY;3 weeks ago
389;Lady Machiavelli;Maybe Ryan should teach YouTube a thing or two about the ads they play. If they were as enjoyable as his, we probably wouldn’t mind watching them.;0;0 REPLY;3 weeks ago
390;zach tyo;I love him so much as an actor and a person. I am sick of these inclusion things. We should just make a law where every career has to have an exact percentage based off gender and race of people. Then we wouldn’t need to pump money into yet another initiative.;0;0 REPLY;3 weeks ago
391;Jrsonic_yt Animations;DROP EVERYTHING RYAN REYNOLDS MAKING ANOTHER AD;0;0 REPLY;3 weeks ago
392;Rebbeca-????**?? ?? - ?????? ???? ?????????????;Brilliant idea Ryan! This is exactly what’s needed to inspire the youth in the remote communities up here in the Northwest territories.;0;0 REPLY;3 weeks ago
393;Matt The Stormtrooper;"""It's Poolin Time"" - Deadpool";1;0 REPLY;3 weeks ago
394;Salim Osman;World needs Deadpool v Wolverine..I need it..thank you ?;0;1 REPLY;3 weeks ago
395;Sayan;At this point it's hard to take Rayn seriously.. my ego just doesn't trust him to be serious;0;0 REPLY;3 weeks ago
396;M.J.Kaeder Production;"Yes! Up here in Minnesota. 11 year actor.  Come on over. The state has our ""snowbate"" to entice more films up here.";0;0 REPLY;3 weeks ago
397;Moniruzzaman mishu;Love you Ryan ;0;0 REPLY;3 weeks ago
398;Renato Rodrigues;That's awesome.;0;0 REPLY;3 weeks ago
399;Felix Villefrance;Cheers for Ryan. This is the right kind of PC wokeness bullcrap.;0;0 REPLY;3 weeks ago
400;BrendanLM;Ryan looks good in glasses.;0;0 REPLY;3 weeks ago
401;Rob Edmondson;Humanity doesn’t deserve you. ?;0;0 REPLY;2 weeks ago
402;HUNTER_MILA;Any wealthy or famous person using a ladder would be quite the sight to behold;0;0 REPLY;3 weeks ago
403;Killgaz Motron;And well if you dont envision yourself in advertising and want to be a movie person, well the skills translate.;0;0 REPLY;3 weeks ago
404;Shatter;Are you actually advertising advertisements right now? You are a mad man and a genius.;0;0 REPLY;3 weeks ago
405;?? Flora S?nchez ??;My Favourite ;0;0 REPLY;3 weeks ago
406;the traveling doc;Give me my line..got me ;0;0 REPLY;2 weeks ago
407;crimsonraen;Wooooooo! Just another reason we all love you! :D;0;0 REPLY;3 weeks ago
408;D.O HMO;I love you.... i would watch every add you put on.;0;0 REPLY;3 weeks ago
409;NamR;The only ADS I would never skip;0;0 REPLY;9 days ago
410;Vakaria;I had no idea the Devil and Ms. 2020 commercial was his.  *whacks forehead with palm of hand*.  That makes so much sense! :D;0;0 REPLY;3 weeks ago
411;Bob Minelli;"Whaaaat?! Beautiful. ""Two-Guys, a Girl & a Pizza Place"". PEACE! ";1;0 REPLY;3 weeks ago
412;Melyra- ??C??c? m? p??f??e - L!VE??J??!N-??;Sounds interesting for creative types. To be honest, I just watched because it’s Ryan! Why can’t this man be cloned and sent to every middle aged lady??? Come on science geeks, get this sorted please!!;2;1 REPLY;3 weeks ago
413;Jc Mendoza;pretty creative;0;0 REPLY;3 weeks ago
414;Wolfspaule;"Do your farts also smell sometimes, so that you have to vent or leave the room?
Or do you simply never fart outside the bathroom?";0;0 REPLY;3 weeks ago
415;dom G;What do you think it would be like if you became a venom Deadpool like in the comics that would be interesting to see the relationship between these two in the movies.;0;0 REPLY;3 weeks ago
416;anthony whitehead;LOVE YOU RYAN.;0;0 REPLY;3 weeks ago
417;Lydia Jacobs;I really love that you are promoting these projects that most of us might not hear about otherwise. What a fantastic idea! We need more people from every walk of life involved, I love this!;1;0 REPLY;3 weeks ago
418;David Ricketts Acevedo;I want to be a part. I took acting in high school;0;0 REPLY;3 weeks ago
419;Raized By Nerdz;Wish I had this when I was at Full Sail;0;1 REPLY;3 weeks ago (edited)
